title,recruiter,experinece,salary,location,description,skills,time_since_posted
Data Scientist Designation: Data Scientist | Experience: 10 years | Qualification: BE / B Tech | Location: Hyderaba,colruyt it consultancy india pvt ltd.captive of colruyt belgium,7 - 12 yrs,None,Hyderabad/Secunderabad,,"                data analysis   ,   statistical modeling   ,   python programming   ,   problem solving   ,   communication   ,  data science  ,  data scientist  ,  text mining  ,  logistic regression  ,  image processing  ,  statistical analysis",Posted few days ago
Resident Solutions Architect  ( Remote ),Acceldata,4 - 10 yrs,None,Bengaluru / Bangalore,,"                data engineering  ,   data science  ,   cloud technology  ,   technical leadership  ,   troubleshooting   ,  hive  ,  bootstrap  ,  docker  ,  security  ,  java  ,  big data  ,  python  ,  oracle  ,  solution architect  ,  infrastructure",Posted few days ago
Aera Technology - Senior Database Engineer,Aera Technology,6 - 9 yrs,None,Pune,,"                database engineering  ,   cloud database  ,   data engineering  ,   data science  ,   automation   ,  mysql  ,  mongodb  ,  san  ,  rdbms  ,  oracle  ,  nosql  ,  neo4j  ,  cassandra  ,  infrastructure  ,  production environment  ,  management systems",Posted few days ago
Senior Manager - Product Analytics,freshworks technologies ltd,10 - 13 yrs,None,,,"                visualization  ,  dashboards  ,  text analytics  ,  logistic regression  ,  advanced analytics  ,  data analytics  ,  data mining  ,  bi  ,  sql  ,  database  ,  data science  ,  data visualization  ,  cluster analysis  ,  crm  ,  san  ,  data analysis  ,  tableau",Posted few days ago
Paytm - Business Analyst - Creditmate,Paytm,4 - 7 yrs,None,Mumbai,,"                mathematics   ,   programming languages   ,   data visualization   ,   problem solving   ,   communication    ,  business analyst  ,  sql  ,  brewing  ,  data science  ,  use cases  ,  data analysis  ,  data analytics  ,  clm  ,  consulting  ,  business reporting  ,  tableau  ,  written communication",Posted a month ago
Lead Data Analyst,shopsocially,7 - 10 yrs,None,Pune,,"                data analytics   ,   business intelligence   ,   sql   ,   python programming   ,   data visualization   ,  dashboards  ,  data science  ,  use cases  ,  software engineering  ,  macros  ,  data analysis  ,  customer success  ,  business analytics  ,  data analyst  ,  tableau  ,  consultant  ,  statistical analysis",Posted 4 days ago
HRGS Data  &  Systems Analyst 1,Alstom Projects India Ltd.,5 - 8 yrs,None,Bengaluru / Bangalore,,"                hr tools expertise  ,   data analysis  ,   data quality  ,   systems analysis  ,   training materials preparation   ,  visualization  ,  dashboards  ,  system development  ,  data analytics  ,  user training  ,  qlik sense  ,  vba  ,  excel vba  ,  bi  ,  database  ,  data science  ,  data visualization  ,  tableau  ,  analyst",Posted few days ago
Requirement Engineer / Business Analyst - Insurance�  /  /  2.5 years,2COMS Consulting Pvt Ltd     ,4 - 9 yrs,None,"Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Pune,  Chennai,  Delhi/NCR",,"                Python  ,   machine learning  ,   NLP  ,   TensorFlow  ,   Artificial Intelligence  ,   PY packages",Posted 1 day ago
SAP BW HANA /  /  Mumbai  /  /  5- 9 Yrs,2COMS Consulting Pvt Ltd     ,5 - 9 yrs,None,Mumbai,,                SAP BW HANA,Posted 4 days ago
Diploma Student Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",,                .,Posted few days ago
Flutter Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Bhavnagar,  Gandhinagar,  Jamnagar,  Mehsana",,                .,Posted few days ago
Testing - Insurance Domain  /  /   Location: Mumbai   /  /   Exp: 6 - 1,2COMS Consulting Pvt Ltd     ,8 - 18 yrs,None,Mumbai,,"                Trade  ,   Cheque processing",Posted 1 day ago
Senior Data Scientist,2COMS Consulting Pvt Ltd     ,6 - 8 yrs,None,Bengaluru / Bangalore,,                Data scientist,Posted few days ago
Data Engineer - Snowflake,2COMS Consulting Pvt Ltd     ,5 - 7 yrs,None,Hyderabad/Secunderabad,,                Snowflake,Posted few days ago
".net Full Stack Developer  /  /  Powai ,  Mumbai  /  /  5-9 years",2COMS Consulting Pvt Ltd     ,5 - 9 yrs,None,Mumbai,,"                Net Core  ,   AWS Services for .net Core",Posted few days ago
"SAP ABAP Developer  /  /  Powai ,  Mumbai  /  /  5-8 years",2COMS Consulting Pvt Ltd     ,5 - 10 yrs,None,Mumbai,,                SAP ABAP,Posted 1 day ago
Data Engineer - Snowflake,2COMS Consulting Pvt Ltd     ,5 - 7 yrs,None,Bengaluru / Bangalore,,                snowflakes,Posted few days ago
SAP FICO  /  /  Mumbai  /  /  5- 8 Yrs,2COMS Consulting Pvt Ltd     ,5 - 10 yrs,None,Mumbai,,"                SAP  ,   FICO",Posted 1 day ago
Sr Data Engineering Databricks,2COMS Consulting Pvt Ltd     ,5 - 8 yrs,None,Hyderabad/Secunderabad,,"                Databricks  ,   Pyspark  ,   SQL",Posted few days ago
MCA Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",,                .,Posted few days ago
Admission Counselor,madrid software solutions pvt ltd     ,1 - 5 yrs,None,Delhi,,"                sales  ,  counselling  ,  edtech  ,  zoho",Posted a month ago
15 Days Internship in Ahnedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",,                college project,Posted a month ago
Business Analyst,2COMS Consulting Pvt Ltd     ,8 - 18 yrs,None,Mumbai,,                Business Analyst,Posted 3 days ago
SAP FICO  /  /  Mumbai  /  /  5- 8 Yrs,2COMS Consulting Pvt Ltd     ,5 - 10 yrs,None,Mumbai,,"                SAP  ,   FICO",Posted a month ago
Placement Trainer,codekids Technologies     ,3 - 5 yrs,None,Hyderabad/Secunderabad,,"                python  ,  java  ,  coroporate training  ,  webdevelopment  ,  placement trainer  ,  trainer  ,  trainee  ,  Training  ,  market knowledge  ,  c ++  ,  application programming  ,  career counselling",Posted a month ago
"Data Analyst , Data Analyst / Modeler , Business Analyst , Manager",Prime immigration llp     ,3 - 8 yrs,None,"Dubai,  Australia,  Canada,  Germany",,"                Business Analysis  ,  Lead Generation  ,  Market Research  ,  Digital Marketing  ,  Online Marketing  ,  Data Analysis",Posted a month ago
Sr Data Engineering Databricks,2COMS Consulting Pvt Ltd     ,5 - 8 yrs,None,Hyderabad/Secunderabad,,"                Databricks  ,   Pyspark  ,   SQL",Posted a month ago
SOC Security Governance  ( Mumbai ),2COMS Consulting Pvt Ltd     ,1 - 12 yrs,None,Hyderabad/Secunderabad,,                Cyber Security Governance,Posted 3 days ago
College project Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",,                student project,Posted a month ago
SAP BW HANA /  /  Mumbai  /  /  5- 9 Yrs,2COMS Consulting Pvt Ltd     ,5 - 9 yrs,None,Mumbai,,                SAP BW HANA,Posted a month ago
Sr Data Engineering Databricks,2COMS Consulting Pvt Ltd     ,5 - 8 yrs,None,Hyderabad/Secunderabad,,"                Databricks  ,   Pyspark  ,   SQL",Posted a month ago
BE Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Mehsana,  Rajkot,  Surat,  Surendranagar",,                BE internship,Posted a month ago
Senior Data Scientist,2COMS Consulting Pvt Ltd     ,6 - 8 yrs,None,Bengaluru / Bangalore,,                Data scientist,Posted a month ago
Winter Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Bhavnagar,  Gandhinagar,  Jamnagar,  Mehsana",,                project,Posted a month ago
MCA Internship in Ahmedabad,Maxgen Technologies     ,0 - 1 yrs,None,"Ahmedabad,  Bhavnagar,  Gandhinagar,  Jamnagar,  Mehsana",,                internship,Posted a month ago
Data Engineer - Snowflake,2COMS Consulting Pvt Ltd     ,5 - 7 yrs,None,Bengaluru / Bangalore,,                snowflakes,Posted a month ago
Principal Engineer Data Scientist REF13884G AllClientLoc J47475,SAMPOORNA CONSULTANTS PVT LTD     ,13 - 15 yrs,None,"Bengaluru / Bangalore,  Chennai,  Gurgaon,  Mumbai,  Noida/Greater Noida",,"                Scrum Master  ,  Manufacturing and Automation  ,  Data Analytics",Posted few days ago
".net Full Stack Developer  /  /  Powai ,  Mumbai  /  /  5-9 years",2COMS Consulting Pvt Ltd     ,5 - 9 yrs,None,Mumbai,,"                Net Core  ,   AWS Services for .net Core",Posted a month ago
"SAP ABAP Developer  /  /  Powai ,  Mumbai  /  /  5-8 years",2COMS Consulting Pvt Ltd     ,5 - 10 yrs,None,Mumbai,,                SAP ABAP,Posted a month ago
SAP FICO  /  /  Mumbai  /  /  5- 8 Yrs,2COMS Consulting Pvt Ltd     ,5 - 10 yrs,None,Mumbai,,"                SAP  ,   FICO",Posted a month ago
College Project Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara",,                .,Posted a month ago
MCA Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Jalgaon,  Kolhapur,  Nagpur,  Solapur",,                mca,Posted few days ago
data analyst,RS Patel and Co     ,1 - 3 yrs,None,Ahmedabad,,                data analysis,Posted a month ago
One Month Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara",,                .,Posted few days ago
Lead Data Analyst- Mumbai / Kolkata,PES HR SERVICES     ,8 - 13 yrs,None,"Kolkata,  Mumbai",,"                Snowflake  ,  etl  ,    ,  Data Warehousing  ,  SQL  ,  AWS  ,  Azure  ,  tableau",Posted a month ago
Full Stack Internship in Pune,Maxgen Technologies     ,0 - 1 yrs,None,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara",,                full stack,Posted a month ago
Software Developer,GENIQUE MANAGEMENT SERVICES PRIVATE LIMITED     ,5 - 10 yrs,None,"Ahmedabad,  Kolkata,  Mumbai,  Australia,  Canada",,"                java  ,  python  ,  c#  ,  sql  ,  c  ,  c ++  ,  software tester  ,  android  ,  ios  ,  html  ,  angular  ,  Javascript  ,  Css  ,  oracle  ,  php  ,  postgres  ,  sdet  ,  .net  ,  asp.net  ,  ETL Developer  ,  etl designer  ,  bi developer",Posted a month ago
Job Openings for Freshers,KIMSIS TECHNOLOGIES PRIVATE LIMITED     ,0 - 1 yrs,None,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai",,                Freshers,Posted few days ago
Web Developer,GENIQUE MANAGEMENT SERVICES PRIVATE LIMITED     ,3 - 8 yrs,None,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Australia,  Canada",,"                html  ,  css  ,  Xml  ,  php  ,  angular  ,  react  ,  java  ,  javascript  ,  Dhtml  ,  Sql  ,  Core Java  XML  ,  c ++",Posted few days ago
Work with MNC I.T Companies,HzronTech     ,0 - 3 yrs,None,Pune,,"                Manufacturing  ,  Engineering  ,  e & tc  ,  Mechanical  ,  electronics  ,  Stores Inventory  ,  logistics  ,  Procurement  ,  sap  ,  production  ,  Core Java  J2EE  ,  sales  ,  marketing  ,  human resources",Posted 4 days ago
Sr. Data Scientist,ORMAE LLP,3 - 10 yrs,None,Bengaluru / Bangalore,,"                algorithms  ,  python  ,  machine learning  ,  sql  ,  d3.js  ,  data structures  ,  mongodb",Posted 3 days ago
Senior Data Scientist,Sigmoid,3 - 5 yrs,None,Bengaluru / Bangalore,,"                learning acumen   ,   team management   ,   problem solver   ,   data interpretation   ,   machine learning   ,  algorithms  ,  information technology  ,  data extraction  ,  java  ,  linux  ,  big data  ,  san  ,  python",Posted 2 days ago
Sr. Data Scientist,IRT Computer Solutions  ( I )  Pvt Ltd,5 - 8 yrs,None,"Hyderabad/Secunderabad,  Chennai",,"                hive  ,  python  ,  c    ,  machine learning  ,  sql  ,  database  ,  java  ,  mapreduce  ,  mysql  ,  hadoop",Posted 4 days ago
Associate Manager Analytics,Sigmoid,4 - 8 yrs,None,Bengaluru / Bangalore,,"                programming   (  python  ,   r  ,   sql  ,   nosql  ,   spark  )     ,   ml tools  &  cloud technology   (  aws  ,   azure  ,   gcp  )     ,   python libraries   (  numpy  ,   pandas  ,   scikit learn  ,   tensor flow  ,   scapy  ,   scrapy  ,   bert  )     ,   statistics   ,   machine learning algorithms   (  svm  ,   random forest  ,   neural network  ,   decision tree  ,   logistic regression  ,   k mean",Posted 2 days ago
Sr. Data Scientist,ORMAE LLP,5 - 8 yrs,None,"Delhi,  Delhi/NCR",,"                algorithms  ,  sql  ,  d3.js  ,  data structures  ,  mongodb  ,  genesys  ,  python  ,  machine learning",Posted 3 days ago
Technical Project Manager,HyreFox Consultants,8 - 12 yrs,None,Bengaluru / Bangalore,,"                mitigation  ,  program management  ,  change management  ,  technical project manager",Posted 1 day ago
Manager Analytics,Splash India Private Limited,5 - 6 yrs,None,Gurgaon,,"                sql  ,  database  ,  postgresql  ,  mysql  ,  api  ,  mongodb  ,  cloud services  ,  python  ,  sas  ,  machine learning",Posted 2 days ago
Sr. Software Engineer,algonox technologies,2 - 5 yrs,None,Hyderabad/Secunderabad,,"                image processing  ,  python  ,  c    ,  natural language processing  ,  machine learning  ,  sql  ,  nosql  ,  docker  ,  java  ,  software engineer  ,  software engineering",Posted 5 days ago
Master Thesis - Vsters,Alstom Projects India Ltd.,0 - 1 yrs,None,,,"                electrical design   ,   mechanical design   ,   control theory   ,   software development and test   ,   project management   ,  motors  ,  manufacturing  ,  planning",Posted 3 days ago
Product Analyst I,MiQ Digital India,1 - 2 yrs,None,Bengaluru / Bangalore,,"                data analysis   ,   sql   ,   big data ecosystem   ,   programming   (  python  ,   r  )     ,   communication skills   ,  hive  ,  pig  ,  hadoop  ,  infrastructure",Posted 5 days ago
"Data Scientist - ML ,  Python ,  AWS / Azure - 4-7 years -",crescendo global,4 - 7 yrs,None,"Mumbai,  Bengaluru / Bangalore,  Pune",,"                ml   (  machine learning  )     ,   python   ,   aws  /  azure   ,   data scientist   ,   sql   ,  algorithms  ,  bi",Posted 5 days ago
Data Analyst,SBM OFFSHORE,3 - 5 yrs,None,Bengaluru / Bangalore,,"                data analysis  ,   analytics  ,   python  ,   power bi  ,   visualization   ,  hive  ,  data extraction  ,  api  ,  oracle  ,  sas  ,  microsoft azure",Posted 4 days ago
Lead Data Scientist,SRIJAN TECHNOLOGIES,6 - 10 yrs,None,Other City(s) in Haryana,,"                ai  /  ml   ,   nlp   ,   python   ,   aws  /  azure  /  gcp   ,   mlops   ,  orchestration  ,  software engineering  ,  machine vision  ,  docker  ,  oops  ,  debugging  ,  cloud computing  ,  natural language processing  ,  team player  ,  machine learning  ,  written communication",Posted 5 days ago
Simpl - Analytics Manager,m / s simplex infrastructures ltd,5 - 8 yrs,None,Bengaluru / Bangalore,,"                analytics  ,   quantitative  ,   analytical tools  ,   product growth  ,   statistical solutions   ,  advanced excel  ,  finance",Posted 5 days ago
Product Marketing  &  Sales Manager,vConstruct Pvt Ltd,4 - 7 yrs,None,Pune,,"                contractor  ,  building  ,  construction management  ,  construction engineering  ,  design  ,  civil  ,  construction  ,  construction manager  ,  dpr  ,  construction projects  ,  pipeline",Posted 5 days ago
Business Manager- Media Planning,PUBLICIS GROUPE,3 - 6 yrs,None,"Mumbai,  Bengaluru / Bangalore,  Pune,  Gurgaon",,"                people management  ,   brand management  ,   media strategy  ,   quality control  ,   presentation skills   ,  performance management",Posted 4 days ago
Lead - Product Marketing  ( Retention Marketing ),turtlemint insurance broking pvt ltd,6 - 11 yrs,None,Mumbai,,"                growth marketing   ,   analytics   ,   data analysis   ,   performance measurement   ,   marketing strategy    ,  insurance  ,  advisor  ,  insurance products  ,  healthinsurance  ,  life insurance  ,  motor insurance  ,  claims",Posted 5 days ago
Recruiting Associate  /  Talent acquisition specialist,vinayak solutions pvt. limited,2 - 5 yrs,None,Delhi,,"                interviewing  ,  ats  ,  screening  ,  mapping  ,  hr  ,  recruitment  ,  recruitment process",Posted 5 days ago
Machine Learning Engineer,TAC Security,0 - 3 yrs,None,Mumbai,,"                san  ,  python  ,  enterprise security  ,  machine learning  ,  artificial intelligence  ,  database  ,  security  ,  mysql  ,  hadoop  ,  big data",Posted 5 days ago
Senior Data Scientist and Lead Data Scientist,jupitice justice technologies pvt. ltd.,7 - 8 yrs,None,Chandigarh,,"                image processing  ,  algorithms  ,  python  ,  natural language processing  ,  ece  ,  machine learning  ,  git",Posted 5 days ago
Enterprise Key Account Manager,Maestro Placement Consultancy Services,5 - 10 yrs,None,"Hyderabad/Secunderabad,  Chennai,  Delhi/NCR,  Pune,  Bengaluru / Bangalore",,"                commerce  ,  accounts  ,   generating new sales",Posted 5 days ago
Business Manager-Programmatic,PUBLICIS GROUPE,6 - 9 yrs,None,"Mumbai,  Bengaluru / Bangalore,  Pune,  Gurgaon",,"                programmatic campaign management   ,   campaign analysis and optimization   ,   client relationship management   ,   knowledge of ad serving technologies   ,   analytical skills   ,  learning  ,  performance management",Posted 4 days ago
Business Manager-Programmatic,PUBLICIS GROUPE,6 - 9 yrs,None,"Mumbai,  Bengaluru / Bangalore,  Pune,  Gurgaon",,"                programmatic  ,   campaign management  ,   analysis  ,   optimization  ,   ad serving   ,  learning  ,  performance management",Posted 4 days ago
Associate Manager- Programmatic,PUBLICIS GROUPE,1 - 2 yrs,None,"Mumbai,  Bengaluru / Bangalore,  Pune,  Gurgaon",,"                programmatic campaign management   ,   campaign analysis   ,   client recommendations   ,   traffic management   ,   data analysis   ,  learning  ,  performance management",Posted 4 days ago
Senior Data Scientist,SRIJAN TECHNOLOGIES,3 - 5 yrs,None,Other City(s) in Haryana,,"                ai  /  ml  ,   python  ,   personalization  ,   recommendation  ,   data analysis   ,  orchestration  ,  software engineering  ,  machine vision  ,  docker  ,  oops  ,  debugging  ,  cloud computing  ,  natural language processing  ,  team player  ,  machine learning  ,  written communication",Posted 5 days ago
Sr. Data Engineer / Data Engineer,CIGNEX Datamatics Technologies Pvt Ltd,5 - 8 yrs,None,Bengaluru / Bangalore,,"                scala  ,  bi  ,  sql  ,  security  ,  java  ,  devops  ,  technical skills  ,  python  ,  machine learning  ,  infrastructure",Posted 5 days ago
Dun  &  Bradstreet - Software Engineer I - R-15384,dun and bradstreet india pvt ltd,2 - 5 yrs,None,Hyderabad/Secunderabad,,"                python  ,   sql  ,   application development  ,   data analysis  ,   cloud service providers   ,  software engineer",Posted 5 days ago
Dun  &  Bradstreet - Software Engineer I - R-15382,dun and bradstreet india pvt ltd,2 - 5 yrs,None,Hyderabad/Secunderabad,,"                1  )   python application development 2  )   sql data analysis 3  )   performance analysis 4  )   agile methodology 5  )   cloud service providers   (  aws  ,   azure  )     ,  software engineer",Posted 5 days ago
Dun  &  Bradstreet - Software Engineer I - R-15380,dun and bradstreet india pvt ltd,2 - 5 yrs,None,Hyderabad/Secunderabad,,"                python  ,   sql  ,   aws  ,   azure  ,   agile   ,  software engineer",Posted 5 days ago
Dun  &  Bradstreet - Software Engineer I - R-15378,dun and bradstreet india pvt ltd,2 - 5 yrs,None,Hyderabad/Secunderabad,,"                1  )   python development 2  )   sql analysis 3  )   data engineering 4  )   cloud service providers 5  )   agile methodology    ,  software engineer",Posted 5 days ago
Dun  &  Bradstreet - Software Engineer I,dun and bradstreet india pvt ltd,2 - 5 yrs,None,Hyderabad/Secunderabad,,"                python  ,   sql  ,   application development  ,   data analysis  ,   cloud services   ,  software engineer",Posted 5 days ago
Safe Security - Financial Risk Analyst,lucideus technology pvt ltd,2 - 3 yrs,None,"Delhi,  Bengaluru / Bangalore,  Delhi/NCR",,"                financial risk analysis  ,   cybersecurity  ,   research skills  ,   attention to detail  ,   excel  /  google spreadsheets proficiency   ,  litigation",Posted 5 days ago
Lifecycle Marketing Manager,revinfotech pvt. ltd.,4 - 7 yrs,None,Gurgaon,,"                lifecycle marketing   ,   customer obsessed   ,   multi channel campaigns   ,   product adoption   ,   data driven business cases   ,  marketing automation  ,  marketing campaigns  ,  product marketing  ,  digital media  ,  segmentation  ,  quantitative research  ,  marketing programs",Posted 5 days ago
UI / UX Designer_DE,Sigmoid,3 - 10 yrs,None,Bengaluru / Bangalore,,"                ui  /  ux design   ,   data visualization   ,   figma   ,   adobe creative cloud   ,   communication skills   ,  authoring  ,  wireframing  ,  data warehousing  ,  storage  ,  sql  ,  san  ,  website  ,  user experience  ,  visual design  ,  written communication  ,  wireframes",Posted 5 days ago
Senior Big Data Engineer,CTE,6 - 12 yrs,None,,,"                hive  ,  sql  ,  xml  ,  linux  ,  shell scripting  ,  hadoop  ,  api  ,  big data  ,  pl  /  sql  ,  python  ,  oracle  ,  ddl  ,  sql scripting",Posted 5 days ago
Analyst - Commerce,PUBLICIS GROUPE,0 - 2 yrs,None,"Gurgaon,  Mumbai,  Pune,  Bengaluru / Bangalore",,"                campaigns  ,  performance marketing  ,  google adwords  ,  marketing",Posted 5 days ago
Data Engineer,Veeva Systems,2 - 3 yrs,None,Spain,,"                java  ,  apache  ,  devops  ,  san  ,  python  ,  machine learning  ,  forms",Posted 5 days ago
AI  &  ML Engineer,HyreFox Consultants,0 - 3 yrs,None,"Hyderabad/Secunderabad,  Jaipur,  Bengaluru / Bangalore",,"                algorithms  ,  data warehousing  ,  sql  ,  security  ,  hadoop  ,  big data  ,  cloud computing  ,  python  ,  machine learning  ,  nosql  ,  infrastructure",Posted 5 days ago
Data Analyst 3 - Zynga - Zynga,ZYNGA,5 - 9 yrs,None,Bengaluru / Bangalore,,"                data analysis   ,   sql   ,   python programming   ,   machine learning   ,   communication skills   ,  games  ,  messaging  ,  hadoop  ,  san",Posted 5 days ago
Manager-Program Delivery,RateGain IT Solutions Pvt Ltd,7 - 12 yrs,None,Noida/Greater Noida,,"                pmp  ,  project manager  ,  sow  ,  prince2  ,  delivery management  ,  c#.net  ,  conference  ,  sql  ,  client engagement  ,  consultant  ,  customer facing",Posted 4 days ago
Dun  &  Bradstreet - Customer Success Manager - Global Accounts,dun and bradstreet india pvt ltd,3 - 6 yrs,None,Mumbai,,"                consultative pre sales   ,   data assets   ,   business impact   ,   communication skills   ,   problem solving skills   ,  interpersonal skills  ,  job posting  ,  presentation skills  ,  processing",Posted 5 days ago
Software Engineer,Alstom Projects India Ltd.,5 - 7 yrs,None,,,"                software development  ,   java  ,   python  ,   sql  ,   test driven development   ,  apache  ,  devops  ,  software engineering  ,  software developer  ,  algorithms  ,  security  ,  database  ,  linux  ,  microsoft azure  ,  machine learning  ,  infrastructure",Posted 5 days ago
Technical Architect - React / Node  ( Dehradun ),ebizon net info  ( p )  ltd,10 - 13 yrs,None,Dehradun,,"                technical architecture   ,   full stack development   ,   js based technologies   ,   relational and non relational databases   ,   microservices   ,  technical leadership  ,  java  ,  software development  ,  mobile  ,  saas",Posted 5 days ago
Master Thesis - Gteborg,Alstom Projects India Ltd.,0 - 1 yrs,None,,,"                railway systems  ,   engineering challenges  ,   software development  ,   testing  ,   safety analysis   ,  algorithms  ,  c    ,  java  ,  tcl  ,  python  ,  infrastructure",Posted 5 days ago
Simpl - Data Analyst Fraud,m / s simplex infrastructures ltd,1 - 5 yrs,None,Bengaluru / Bangalore,,"                quantitative analytics   ,   risk assessment   ,   fraud detection   ,   underwriting   ,   machine learning   ,  bi  ,  sql  ,  python",Posted 5 days ago
Senior Associate - Marketing,PUBLICIS GROUPE,3 - 4 yrs,None,Mumbai,,"                social media  ,   pr  ,   events  ,   thought leadership  ,   program management   ,  press  ,  team player",Posted 5 days ago
Senior Associate Technology L2 - Salesforce Marketing Cloud,PUBLICIS GROUPE,2 - 5 yrs,None,Mumbai,,"                sfmc specialization   ,   data modeling   ,   sql   ,   large scale application design   ,   consulting skills   ,  css  ,  salesforce  ,  html  ,  api  ,  middleware  ,  rest  ,  mobile  ,  javascript  ,  written communication  ,  soap",Posted 5 days ago
Manager Technology - SFDC,PUBLICIS GROUPE,2 - 12 yrs,None,Mumbai,,"                salesforce technical architect   ,   verbal and communication   ,   solution documentation   ,   salesforce implementation   ,   data modeling   ,  css  ,  apex  ,  heroku  ,  api  ,  visualforce  ,  mobile  ,  project delivery",Posted 5 days ago
Salesforce Technical Lead,HyreFox Consultants,6 - 10 yrs,None,Jaipur,,"                salesforce development   ,   visualforce   ,   apex   ,   java   ,   oracle   ,  j2ee  ,  api  ,  salesforce developer  ,  problem solving  ,  triggers",Posted 5 days ago
Salesforce Technical Architect,HyreFox Consultants,8 - 12 yrs,None,Jaipur,,"                salesforce  /  lightning  ,   apex  ,   crm  ,   data driven designs  ,   integration    ,  salesforce developer  ,  visualforce  ,  problem solving  ,  team player  ,  triggers",Posted 5 days ago
Senior Software Engineer -  ( .net ),ICERTIS,4 - 8 yrs,None,Pune,,"                python   ,   c#   ,   asp  ,  net   ,   mvc   ,   nlp   ,  algorithms  ,  business rules  ,  senior software engineer  ,  asp.net  ,  data structures  ,  windows azure  ,  c# .net",Posted 5 days ago
Position Enterprise Account Head,Maestro Placement Consultancy Services,14 - 17 yrs,None,Kolkata,,"                business leadership  ,  corporate sales  ,  sales  ,  retail  ,  sales professional  ,  customer relationship manager  ,  cxo  ,  innovation  ,  manager  ,  sales cycle  ,  account management  ,  market  ,  build  ,  customer facing",Posted 5 days ago
SDE II - Frontend,netomi  ( msgai labs ),3 - 6 yrs,None,Gurgaon,,"                html5  ,  senior software engineer  ,  artificial intelligence  ,  devops  ,  api  ,  rest  ,  javascript",Posted 5 days ago
"Lead ,  Selection Model Development",Teach For India,5 - 8 yrs,None,"Mumbai,  Delhi,  Delhi/NCR,  Pune,  Bengaluru / Bangalore",,"                learning  ,  hr  ,  recruitment  ,  communication  ,  communication skills  ,  tni  ,  leadership development",Posted 5 days ago
Automation Engineer,bekaert india technical center,3 - 6 yrs,None,Pune,,"                automation engineering   ,   programming   ,   control technology   ,   mechatronics   ,   analytical thinking   ,  bom  ,  hmi  ,  motors  ,  safety  ,  manufacturing  ,  machinist  ,  coating  ,  plc  ,  implementation  ,  documentation  ,  ideas  ,  material science",Posted 5 days ago
Data Architect,Alstom Projects India Ltd.,5 - 7 yrs,None,,,"                data architecture   ,   java  /  python programming   ,   database optimization   ,   data pipeline management   ,   cloud computing   ,  apache  ,  devops  ,  nosql  ,  algorithms  ,  storage  ,  security  ,  linux  ,  software engineer  ,  microsoft azure  ,  machine learning  ,  infrastructure",Posted 5 days ago
Associate Manager- Programmatic,PUBLICIS GROUPE,0 - 2 yrs,None,"Mumbai,  Bengaluru / Bangalore,  Pune,  Gurgaon",,"                multichannel programmatic   ,   campaign performance analysis   ,   media recommendations   ,   campaign optimization   ,   online media understanding   ,  learning  ,  performance management",Posted 5 days ago
Business Manager-Programmatic,PUBLICIS GROUPE,6 - 9 yrs,None,"Mumbai,  Bengaluru / Bangalore,  Pune,  Gurgaon",,"                programmatic campaigns   ,   campaign performance analysis   ,   media recommendations   ,   ad serving technologies   ,   analytical tools    ,  learning  ,  performance management",Posted 5 days ago
"Iron Mountain Jobs - Data Scientist in Bangalore ,  India",iron mountain india pvt ltd,5 - 9 yrs,None,Bengaluru / Bangalore,,"                machine learning   ,   mathematical skills   ,   problem solving   ,   coding   ,   data visualization   ,  data mining  ,  storage  ,  sql  ,  database  ,  big data  ,  python  ,  cloud services  ,  information management  ,  forms",Posted 5 days ago
Cyber Security - Insider Risk Technical Engineer,infinity business solutions pvt ltd,4 - 6 yrs,None,Bengaluru / Bangalore,,"                kql  ,   dlp microsoft security  ,   soar  ,   mcafee  ,   networking architecture   ,  python  ,  team player  ,  nist  ,  servicenow",Posted 5 days ago
