title,recruiter,experinece,salary,location,description,skills,time_since_posted
Senior Manager - Data Science,MERITUS INTELYTICS PRIVATE LIMITED,4 - 8 yrs,None,Hyderabad/Secunderabad,,"                fundamentals  ,  algorithms  ,  big data  ,  python  ,  c  ,  algorithm development  ,  machine learning",Posted few days ago
Manager - Data Science,MERITUS INTELYTICS PRIVATE LIMITED,3 - 5 yrs,None,Hyderabad/Secunderabad,,"                fundamentals  ,  algorithms  ,  python  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data",Posted few days ago
Analytics  &  Data Science,Kpro Solutions,9 - 12 yrs,None,Bengaluru / Bangalore,,"                python  ,  sas  ,  sql  ,  data extraction  ,  hadoop",Posted few days ago
Chief Data Science officer,RedLotus,15 - 18 yrs,None,Mumbai,,"                mathematics  ,  spoken english  ,  science  ,  statistics",Posted few days ago
Analyst - Data Science,NUWARE SYSTEMS PVT LTD,3 - 6 yrs,None,Bengaluru / Bangalore,,"                python  ,  rdbms  ,  data mining  ,  machine learning  ,  sql  ,  senior software developer  ,  software developer",Posted few days ago
Data Science Manager-R & D,Flytxt Mobile Solutions Pvt Ltd,2 - 5 yrs,None,Thiruvananthapuram,,"                fundamentals  ,  algorithms  ,  conference  ,  artificial intelligence  ,  apache  ,  python  ,  machine learning  ,  dsm",Posted few days ago
Data Science Intern,Tridiagonal Solutions Pvt. Ltd.,2 - 5 yrs,None,Pune,,"                nlp and ocr techniques  ,   structured  /  unstructured dataset  ,   pdf  textual information  ,   openai apis  ,   python coding   ,  manufacturing  ,  innovation  ,  team work  ,  process data  ,  ideas  ,  process engineering  ,  manufacturing operations",Posted few days ago
Senior Engineer - Data Science,CAMBRIDGE TECHNOLOGY INDIA PVT LTD,1 - 10 yrs,None,Hyderabad/Secunderabad,,"                fundamentals  ,  algorithms  ,  python  ,  machine learning  ,  debugging  ,  big data",Posted few days ago
Analyst - Data Science,Merilytics,0 - 3 yrs,None,Hyderabad/Secunderabad,,"                fundamentals  ,  algorithms  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data",Posted few days ago
Analyst - Data Science,MERITUS INTELYTICS PRIVATE LIMITED,0 - 3 yrs,None,Hyderabad/Secunderabad,,"                fundamentals  ,  algorithms  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data",Posted few days ago
Lead  ( Data Science Engineer ),colruyt it consultancy india pvt ltd.captive of colruyt belgium,10 - 13 yrs,None,Hyderabad/Secunderabad,,"                service oriented  ,  sql  ,  database  ,  git  ,  oops  ,  software engineering  ,  big data  ,  python  ,  infrastructure",Posted few days ago
Data Science Analyst,HR Jobs Placements     ,2 - 7 yrs,None,"Bengaluru / Bangalore,  Chennai,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai",,"Data Science Analyst  ,  Data Science  ,  test model quality  ,  product development  ,   marketing techniques  ,  customer experiences  ,   revenue generation  ,   ad targeting",Posted few days ago
Data Science Analyst /  Data Scientist,arimon digilytics pvt ltd,1 - 3 yrs,None,Gurgaon,,"data science  ,  analyst  ,  data scientist",Posted few days ago
Marketing Analytics with Data Science Lead,AugmatrixGo,5 - 8 yrs,None,"Hyderabad/Secunderabad,  Pune",,"                dashboards  ,  sql  ,  tableau  ,  data scientist  ,  data visualization",Posted few days ago
Co-Founder /  Head of Data Sciences,NLP People,0 - 3 yrs,None,Delhi,,"                data mining  ,  machine learning  ,  artificial intelligence",Posted few days ago
FULL STACK DATA SCIENCE ARCHITECT,aitouch llp,4 - 7 yrs,None,Gurgaon,,"                scala  ,  erlang  ,  artificial intelligence  ,  docker  ,  spring  ,  java  ,  devops  ,  mqtt  ,  python  ,  natural language processing  ,  machine learning  ,  javascript  ,  nosql  ,  node.js  ,  cassandra",Posted few days ago
Paytm - Data Science- Senior Data Scientist,Paytm,4 - 7 yrs,None,Bengaluru / Bangalore,,"data science  ,   deep learning  ,   fraud detection  ,   neural networks  ,   ml  /  dl frameworks   ,  fundamentals  ,  algorithms  ,  scala  ,  sql  ,  brewing  ,  data structures  ,  big data  ,  python  ,  machine learning",Posted a month ago
"Data Science Project Engineer in Maneja ,  GJ - Hitachi",hitachi ltd,2 - 7 yrs,None,Vadodara,,"                data analysis   ,   business case analysis   ,   kpis  /  metrics automation   ,   sap   ,   sql reports   ,  bi  ,  python  ,  team player  ,  vb",Posted few days ago
Senior Software Engineer - Data Science and Machine Learning,VSH Solutions,0 - 3 yrs,None,Pune,,"                python  ,  data warehousing  ,  machine learning  ,  sql  ,  nosql  ,  java  ,  git  ,  ror  ,  cassandra  ,  mongodb",Posted a month ago
"python developer ,  data science ,  ML ,  AI ,  freshers ,  Django",AMAR TECHNOLABS PVT LTD     ,0 - 2 yrs,None,Ahmedabad,,"                Machine Learmning  ,  MySql  ,  Data Science  ,  Training  ,  Opps  ,  Fresher  ,  HTML  ,  CSS  ,  Python  ,  CorePython  ,  Java Script  ,  Django  ,  Intern  ,  Database",Posted few days ago
Senior Analyst - Data Science  ( Python Developer )  -Chennai  /  Hyd,2COMS Consulting Pvt Ltd     ,2 - 5 yrs,None,Bengaluru / Bangalore,,"                python developer  ,   python programming",Posted few days ago
Data Scientist,2COMS Consulting Pvt Ltd     ,4 - 6 yrs,None,Bengaluru / Bangalore,,Data science,Posted few days ago
Data Scientist,2COMS Consulting Pvt Ltd     ,4 - 6 yrs,None,Bengaluru / Bangalore,,Data science,Posted a month ago
Power BI Developer,Alpha Tech     ,0 - 1 yrs,None,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Pune,  Cochin/ Kochi/ Ernakulam",,"                Azure Analysis Services  ,  Amazon Aws  ,  Devops  ,  Jenkins  ,  Power Bi Desktop  ,  Power Query  ,  Power Bi  ,  Business Analysis  ,  Dax Queries  ,  Sql  ,  Spss  ,  Statistics  ,  Business Intelligence",plyPosted today
Staff Engineer Data Scientist REF17551N All Client Loc - J47476,SAMPOORNA CONSULTANTS PVT LTD     ,5 - 8 yrs,None,"Bengaluru / Bangalore,  Chennai,  Gurgaon,  Hyderabad/Secunderabad,  Mumbai",,"Data Science  ,  Machine Learning  ,  SQL  ,  NoSQL  ,  Python  /   Spark  /   R Data Science Stack",Posted few days ago
Machine Learning Engineer,Cotocus,0 - 3 yrs,None,Bengaluru / Bangalore,,"                machine learning  ,  docker  ,   data science",Posted few days ago
Data Scientist,SKYWALK VISA IMMIGRATION SERVICES LLP     ,2 - 7 yrs,None,Singapore,,"Data Science  ,  Data Scientist  ,  Data Analysis  ,  data analyst  ,  statistical modeling",Posted few days ago
Data Scientist,SKYWALK VISA IMMIGRATION SERVICES LLP     ,6 - 11 yrs,None,"France,  Hong Kong",,"Data Science  ,  Data Scientist  ,  Data Analysis  ,  data analyst  ,  statistical modeling",Posted a month ago
"Data Scientist ,",SKYWALK VISA IMMIGRATION SERVICES LLP     ,6 - 11 yrs,None,Germany,,"Data Science  ,  Data Scientist  ,  Data Analysis  ,  data analyst  ,  statistical modeling",Posted a month ago
Data scientist,HyreFox Consultants,0 - 3 yrs,None,Jaipur,,"data science  ,  data cleaning  ,  data scientist  ,  dashboards",Posted 2 days ago
Data Scientist  Document Extraction,arimon digilytics pvt ltd,3 - 6 yrs,None,Gurgaon,,"data science  ,  data scientist  ,   Document Extraction",Posted few days ago
HTML Developer,CONNECTING 2 WORK,0 - 3 yrs,None,Thiruvananthapuram,,"                HTML Developer  ,  Design features  ,  data science",Posted few days ago
Data Scientists,pratibha analytics,3 - 20 yrs,None,Hyderabad/Secunderabad,,"                advanced analytics  ,  sas  ,  data science  ,  spss",Posted few days ago
Java and Dot Net Trainer,NARESH I TECHNOLOGIES     ,5 - 8 yrs,None,Hyderabad/Secunderabad,,"                java  ,  Html  ,  mySQL  ,  trainer  ,  web service  ,  data science  ,  python  ,  Android  ,  Android Development",Posted few days ago
"Consultant ,  Research and Analysis  ( Selection Model Development )",Teach For India,2 - 5 yrs,None,"Hyderabad/Secunderabad,  Kolkata,  Pune,  Bengaluru / Bangalore",,"                spss  ,  data science  ,  data analytics  ,  data analysis  ,  tableau  ,  consultant",Posted 4 days ago
Data Scientist / Lead Data Scientist - Academic Operations,Great Learning,2 - 5 yrs,None,"Bengaluru / Bangalore,  Gurgaon",,"data science   ,   analytics   ,   artificial intelligence   ,   sql   ,   python   ,  algorithms  ,  machine learning",Posted few days ago
Senior Commercial Strategy Business Consultant,Veeva Systems,6 - 9 yrs,None,South Korea,,"data science  ,  san  ,  customer success  ,  consulting  ,  business consulting  ,  business consultant",Posted few days ago
IT Domain Team,GENIQUE MANAGEMENT SERVICES PRIVATE LIMITED     ,1 - 6 yrs,None,"Australia,  Canada",,"                Network Designing  ,  ccna  ,  Perl Python  ,  Core Java  XML  ,  c ++  ,  html  ,  css  ,  data science  ,  Tableau  ,  R Programming  ,  sql  ,  Data Analysis  ,  business analyst  ,  software",Posted few days ago
Hiring for Software Industry,GENIQUE MANAGEMENT SERVICES PRIVATE LIMITED     ,1 - 6 yrs,None,"Australia,  Canada",,"                Software Developing  ,  Software Quality Testing  ,  Quality Assurance  ,  software test engineer  ,  java  ,  python  ,  sql  ,  mean  ,  mern  ,  c ++  ,  data science  ,  Tableau  ,  Business Analyst",Posted few days ago
Software Developer,GENIQUE MANAGEMENT SERVICES PRIVATE LIMITED     ,1 - 6 yrs,None,"Australia,  Canada",,"                Html  ,  java  ,  php  ,  Database  ,  Python Scripting  ,  Machine Learning  ,  data science  ,  Tableau  ,  R Programming  ,  .net  ,  asp.net  ,  angular  ,  Javascript  ,  react  ,  oracle  ,  SQL  ,  c ++  ,  css",Posted few days ago
Sr. Operations Research Analyst,ORMAE LLP,5 - 8 yrs,None,"Delhi,  Delhi/NCR,  Bengaluru / Bangalore",,"                c    ,  spss  ,  java  ,  data science  ,  client facing  ,  advanced analytics  ,  genesys  ,  sas  ,  business analytics  ,  analyst",Posted 3 days ago
Data Scientist 1,boomerang commerce,0 - 2 yrs,None,Bengaluru / Bangalore,,"data science  ,   machine learning  ,   statistical analysis  ,   data visualization  ,   python coding   ,  data analysis  ,  dashboards  ,  tableau  ,  data scientist",Posted 5 days ago
"Applications invited for JRF position at ASET ,  Amity University Noida - 22-11-2023 - Adv / AUUP / HR / 23 / 301",Amity University,0 - 2 yrs,None,Noida/Greater Noida,,"                ai enabled physiotherapy   ,   electronics engineering   ,   electronics and communication   ,   computer science   ,   ai  /   data science   ,  hr  ,  learning  ,  compensation  ,  interview",Posted 5 days ago
Master Thesis - Hssleholm,Alstom Projects India Ltd.,0 - 1 yrs,None,,,"                ai technologies  ,   test and verification  ,   data science  ,   software development  ,   cyber security   ,  infrastructure",Posted 5 days ago
